Isotope	State	Intensity (pps)	Proton current	Ion source	Info
87Fr	Fr213g	2.40E7	9	Re surface	
87Fr	Fr212g	5.70E7	9	Re surface	
88Ra	Ra212g	3.40E4	9	Re surface	
87Fr	Fr211g	3.10E7	9	Re surface	
88Ra	Ra211g	1.90E4	9	Re surface	
87Fr	Fr210g	2.10E7	9	Re surface	
87Fr	Fr210g	1.30E7	9	Re surface	
87Fr	Fr209g	9.10E6	9	Re surface	
87Fr	Fr208g	9.90E6	9	Re surface	
87Fr	Fr208g	4.10E6	9	Re surface	
87Fr	Fr207g	1.50E6	9	Re surface	
87Fr	Fr206g	1.20E6	9	Re surface	
87Fr	Fr206m1	3.00E6	9	Re surface	
87Fr	Fr205g	8.80E4	9	Re surface	
87Fr	Fr204g	5.70E3	9	Re surface	
87Fr	Fr203g	3.60E2	9	Re surface	
87Fr	Fr202g	2.70E1	9	Re surface	
87Fr	Fr227g	1.20E5	9	Re surface	
87Fr	Fr228g	1.20E4	9	Re surface	
87Fr	Fr229g	4.00E3	9	Re surface	
87Fr	Fr229g	3.70E3	9	Re surface	
88Ra	Ra224g	1.20E9	9	Re surface	
88Ra	Ra224g	1.40E9	9	Re surface	
87Fr	Fr223g	2.00E6	9	Re surface	
88Ra	Ra223g	6.90E8	9	Re surface	
88Ra	Ra223g	5.60E8	9	Re surface	
87Fr	Fr222g	3.50E6	9	Re surface	
88Ra	Ra222g	6.70E6	9	Re surface	
87Fr	Fr221g	3.00E7	9	Re surface	
88Ra	Ra221g	3.40E4	9	Re surface	
87Fr	Fr220g	4.40E6	9	Re surface	
87Fr	Fr219g	1.30E6	9	Re surface	
87Fr	Fr218m1	2.20E5	9	Re surface	
87Fr	Fr214g	9.40E4	9	Re surface	
87Fr	Fr214m1	2.70E4	9	Re surface	
87Fr	Fr225g	3.70E5	9	Re surface	
70Yb	Yb175g	1.90E3	9	Re surface	
88Ra	Ra223g	1.20E6	9	Re surface	
11Na	Na21g	1.10E4	9	Re surface	
11Na	Na20g	2.70E2	9	Re surface	
11Na	Na20g	2.60E2	9	Re surface	
11Na	Na25g	2.10E5	9	Re surface	
11Na	Na26g	1.80E4	9	Re surface	
11Na	Na26g	2.40E4	9	Re surface	
11Na	Na27g	1.40E4	9	Re surface	
11Na	Na27g	1.90E4	9	Re surface	
11Na	Na28g	8.10E2	9	Re surface	
11Na	Na29g	3.90E2	9	Re surface	
11Na	Na30g	2.70E1	9	Re surface	
11Na	Na26g	5.50E4	9	Re surface	
11Na	Na26g	3.60E4	9	Re surface	
11Na	Na24g	2.20E6	9	Re surface	
3Li	Li8g	7.70E6	9	Re surface	
3Li	Li9g	2.60E5	9	Re surface	
87Fr	Fr218m1	3.00E5	9	Re surface	
87Fr	Fr219g	1.80E6	9	Re surface	
